,osl_property_id,asset_name,employer_name,old_commute,new_commute,closest_asset,is_closest_asset
338,3362715,Cortland at the Village,The Atlanta Postpartum Doula,34.89666666666667,47.693333333333335,Somerset,False
339,3362715,Cortland at the Village,The Atlanta Postpartum Doula,34.89666666666667,46.54833333333333,Somerset,False
340,3362715,Cortland at the Village,The Atlanta Postpartum Doula,34.89666666666667,46.36666666666667,Somerset,False
353,3362715,Cortland at the Village,Elevance Health,7.388333333333334,44.10666666666667,Cortland Duluth - Phase 1,False
354,3362715,Cortland at the Village,Elevance Health,7.388333333333334,44.336666666666666,Cortland Duluth - Phase 1,False
355,3362715,Cortland at the Village,Elevance Health,7.388333333333334,43.19166666666667,Cortland Duluth - Phase 1,False
356,3362715,Cortland at the Village,Elevance Health,7.388333333333334,43.01,Cortland Duluth - Phase 1,False
357,3362715,Cortland at the Village,The Home Depot Management Company LLC,21.988333333333333,9.151666666666667,Battery 2nd Base,False
358,3362715,Cortland at the Village,The Home Depot Management Company LLC,21.988333333333333,9.381666666666666,Battery 2nd Base,False
359,3362715,Cortland at the Village,The Home Depot Management Company LLC,21.988333333333333,7.968333333333334,Battery 2nd Base,False
360,3362715,Cortland at the Village,The Home Depot Management Company LLC,21.988333333333333,8.055,Battery 2nd Base,False
369,3362715,Cortland at the Village,Best Buy,31.313333333333333,32.51166666666667,Cortland Lex,False
370,3362715,Cortland at the Village,Best Buy,31.313333333333333,32.74166666666667,Cortland Lex,False
371,3362715,Cortland at the Village,Best Buy,31.313333333333333,31.596666666666668,Cortland Lex,False
372,3362715,Cortland at the Village,Best Buy,31.313333333333333,31.415000000000003,Cortland Lex,False
389,2690752,Cortland Old Fourth Ward,Delaware north,24.423333333333336,19.646666666666665,Battery 1st Base,False
390,2690752,Cortland Old Fourth Ward,Kuehne + nagel ,21.211666666666666,22.535,East Ridge Park,False
391,2690752,Cortland Old Fourth Ward,Switch,23.033333333333335,23.115000000000002,Towne West Manor,False
393,2690752,Cortland Old Fourth Ward,ProCo-LLC,44.126666666666665,21.955,Cortland Woodlands,False
395,2690752,Cortland Old Fourth Ward,Waste Management ,37.46666666666667,19.75,Battery 2nd Base,False
396,2690752,Cortland Old Fourth Ward,Marta,37.906666666666666,11.901666666666667,Cortland at Armour Yards,False
397,2690752,Cortland Old Fourth Ward,VXi global solutions ,14.168333333333333,23.646666666666665,East Ridge Park,False
401,2691034,Cortland Park 83,ABB/MSA,15.883333333333333,15.985000000000001,Cortland Windward,False
402,2691034,Cortland Park 83,ABB/MSA,15.883333333333333,15.68,Cortland Windward,False
409,2691034,Cortland Park 83,Wellstar North Fulton,83.575,11.655,Cortland Lex,False
410,2691034,Cortland Park 83,Wellstar North Fulton,83.575,11.35,Cortland Lex,False
415,2691034,Cortland Park 83,Wellstar north Fulton ,55.12833333333333,11.655,Cortland Lex,False
